repetition,held_subject_fold,held_video_fold,outer_cell,scenario_type,scenario_id,train_subject_folds,train_video_folds,validation_subject_folds,validation_video_folds,nominal_train_subjects,nominal_train_videos,observed_train_subjects,observed_train_videos,raw_train_rows,task,class_value,class_name,participant_id,trial_count,unique_video_count,unique_session_count,exact_videos,eligible_weak_1trial,eligible_minimal_2trials,eligible_strong_2trials_2videos
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,0,low,P001,2,2,1,Life is beautiful;The Exorcist,True,True,True
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,0,low,P003,1,1,1,The Shining,True,False,False
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,0,low,P005,0,0,0,,False,False,False
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,0,low,P007,2,2,2,28 days later;Dangerous Minds,True,True,True
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,0,low,P010,1,1,1,The Shining,True,False,False
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,0,low,P013,0,0,0,,False,False,False
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,0,low,P016,1,1,1,28 days later,True,False,False
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,0,low,P017,4,4,2,Dangerous Minds;Fish called Wanda;Life is beautiful;The Shining 2,True,True,True
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,0,low,P018,1,1,1,28 days later,True,False,False
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,0,low,P021,2,2,1,Dangerous Minds;Scream,True,True,True
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,0,low,P022,0,0,0,,False,False,False
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,0,low,P023,0,0,0,,False,False,False
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,0,low,P024,0,0,0,,False,False,False
