dataset,participant_id,session_id,chronological_position,video_order,presentation_id,video_name,video_id,content_id,source,canonical_quadrant,emotion_name,stimulus_duration_sec,timeline_start_sec,timeline_end_sec,timeline_duration_sec,timeline_end_is_fallback,segment_file,segment_available,segment_valid,segment_type,is_baseline,is_emotional_stimulus,valence_rating,arousal_rating,dominance_rating,valence_rating_count,arousal_rating_count,rating_policy_status,eeg_available,emg_available,ecg_available,gsr_available,raw_xdf_file,preprocessed_hdf5_file,participant_session_key,source_database_rows,identity_conflict_flag,notes
DEJA-VU,P001,S001,1,2,P001_S001_p1,Clouds,clouds,self-made_clouds,self-made,D,Calm,184.0,32.0,216.0,184.0,False,S001_neutral_baseline.h5,True,True,neutral_baseline,True,False,5.0,2.0,5.0,2,2,"before=1,after=1",True,True,True,True,sub-P001_ses-S001_task-Default_run-001_eeg.xdf,clean_P001_S001.h5,P001_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,
DEJA-VU,P001,S001,2,6,P001_S001_p2,The Champ,the_champ,filmstim_the_champ,FilmStim,C,Sadness,181.0,349.0,530.0,181.0,False,S001_quadrant_C_pos2.h5,True,True,quadrant,False,True,1.0,5.0,9.0,2,2,"before=1,after=1",True,True,True,True,sub-P001_ses-S001_task-Default_run-001_eeg.xdf,clean_P001_S001.h5,P001_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,
DEJA-VU,P001,S001,3,10,P001_S001_p3,Scream,scream,filmstim_scream,FilmStim,B,Fear,216.0,663.0,879.0,216.0,False,S001_quadrant_B_pos3.h5,True,True,quadrant,False,True,5.0,5.0,4.0,2,2,"before=1,after=1",True,True,True,True,sub-P001_ses-S001_task-Default_run-001_eeg.xdf,clean_P001_S001.h5,P001_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,
DEJA-VU,P001,S001,4,14,P001_S001_p4,The Visitors,the_visitors,filmstim_the_visitors,FilmStim,A,Fun,130.0,1012.0,1142.0,130.0,False,S001_quadrant_A_pos4.h5,True,True,quadrant,False,True,6.0,3.0,2.0,2,2,"before=1,after=1",True,True,True,True,sub-P001_ses-S001_task-Default_run-001_eeg.xdf,clean_P001_S001.h5,P001_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,
DEJA-VU,P001,S002,1,2,P001_S002_p1,Clouds,clouds,self-made_clouds,self-made,D,Calm,184.0,32.0,216.0,184.0,False,S002_neutral_baseline.h5,True,True,neutral_baseline,True,False,6.0,3.0,5.0,2,2,"before=1,after=1",True,True,True,True,sub-P001_ses-S002_task-Default_run-001_eeg.xdf,clean_P001_S002.h5,P001_S002,journey:1;videos:1;video_mappings:1;ratings:2,False,
DEJA-VU,P001,S002,2,6,P001_S002_p2,The Exorcist,the_exorcist,filmstim_the_exorcist,FilmStim,B,Fear,101.0,349.0,450.0,101.0,False,S002_quadrant_B_pos2.h5,True,True,quadrant,False,True,2.0,3.0,1.0,2,2,"before=1,after=1",True,True,True,True,sub-P001_ses-S002_task-Default_run-001_eeg.xdf,clean_P001_S002.h5,P001_S002,journey:1;videos:1;video_mappings:1;ratings:2,False,
DEJA-VU,P001,S002,3,10,P001_S002_p3,Life is beautiful,life_is_beautiful,filmstim_life_is_beautiful,FilmStim,C,Sadness,127.0,583.0,710.0,127.0,False,S002_quadrant_C_pos3.h5,True,True,quadrant,False,True,1.0,2.0,1.0,2,2,"before=1,after=1",True,True,True,True,sub-P001_ses-S002_task-Default_run-001_eeg.xdf,clean_P001_S002.h5,P001_S002,journey:1;videos:1;video_mappings:1;ratings:2,False,
DEJA-VU,P001,S002,4,14,P001_S002_p4,There is something about Mary 2,there_is_something_about_mary_2,filmstim_there_is_something_about_mary_2,FilmStim,A,Fun,146.0,843.0,989.0,146.0,False,S002_quadrant_A_pos4.h5,True,True,quadrant,False,True,6.0,5.0,4.0,2,2,"before=1,after=1",True,True,True,True,sub-P001_ses-S002_task-Default_run-001_eeg.xdf,clean_P001_S002.h5,P001_S002,journey:1;videos:1;video_mappings:1;ratings:2,False,
DEJA-VU,P002,S001,1,2,P002_S001_p1,Clouds,clouds,self-made_clouds,self-made,D,Calm,184.0,32.0,216.0,184.0,False,S001_neutral_baseline.h5,True,True,neutral_baseline,True,False,3.0,3.0,3.0,2,2,"before=1,after=1",True,True,True,True,sub-P002_ses-S001_task-Default_run-001_eeg.xdf,clean_P002_S001.h5,P002_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,
DEJA-VU,P002,S001,2,6,P002_S001_p2,28 days later,28_days_later,emostim_28_days_later,EmoStim,B,Fear,172.0,349.0,521.0,172.0,False,S001_quadrant_B_pos2.h5,True,True,quadrant,False,True,7.0,7.0,9.0,2,2,"before=1,after=1",True,True,True,True,sub-P002_ses-S001_task-Default_run-001_eeg.xdf,clean_P002_S001.h5,P002_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,
