task,policy,participant_session_key,available_rows,retained_rows,dropped_rows,low_count,high_count,both_classes,single_class,no_retained_rows,participants,participant_sessions,videos,support_class,canonical_quadrants,emotion_names
valence,discard_midpoint,P001_S001,3,2,1,1,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P001_S002,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P002_S001,3,2,1,0,2,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P002_S002,3,3,0,1,2,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P003_S001,3,2,1,1,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P004_S001,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P005_S001,3,1,2,0,1,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P006_S001,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P007_S001,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P007_S002,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P008_S001,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P009_S001,3,2,1,1,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P009_S002,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P010_S001,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P011_S001,3,3,0,3,0,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P011_S002,3,3,0,2,1,True,False,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P013_S001,3,1,2,0,1,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
valence,discard_midpoint,P014_S001,3,2,1,2,0,False,True,False,1,1,3,,A;B;C,Fear;Fun;Sadness
