dataset,cohort,participant_id,session_id,chronological_position,video_order,presentation_id,video_name,video_id,content_id,source,canonical_quadrant,emotion_name,stimulus_duration_sec,timeline_start_sec,timeline_end_sec,timeline_duration_sec,timeline_end_is_fallback,segment_file,segment_available,segment_valid,segment_type,is_baseline,is_emotional_stimulus,valence_rating,arousal_rating,dominance_rating,valence_rating_count,arousal_rating_count,rating_policy_status,eeg_available,emg_available,ecg_available,gsr_available,raw_xdf_file,preprocessed_hdf5_file,participant_session_key,source_database_rows,identity_conflict_flag,notes,raw_emg_unit_id,raw_emg_unit_type,raw_emg_boundary_covered,raw_emg_observed_samples,raw_emg_expected_samples,raw_emg_sample_coverage_ratio,raw_emg_max_gap_sec,raw_emg_gap_ok,emg_ch1_finite_fraction,emg_ch2_finite_fraction,emg_ch1_exact_flatline,emg_ch2_exact_flatline,emg_ch1_low_variability_warning,emg_ch2_low_variability_warning,emg_ch1_std,emg_ch2_std,emg_ch1_robust_range,emg_ch2_robust_range,raw_emg_two_channel_eligible,raw_emg_one_channel_eligible,raw_emg_eligibility_reason,strict_signal_qc_applied,strict_two_channel_emg_eligible,strict_one_channel_emg_eligible,strict_signal_qc_status,before_valence,before_arousal,before_dominance,after_valence,after_arousal,after_dominance,after_valence_discard_midpoint_label,after_valence_midpoint_as_low_label,after_valence_midpoint_as_high_label,after_arousal_discard_midpoint_label,after_arousal_midpoint_as_low_label,after_arousal_midpoint_as_high_label,primary_valence_label,primary_arousal_label,primary_valence_label_available,primary_arousal_label_available,primary_label_policy
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P001,S001,2,6,P001_S001_p2,The Champ,the_champ,filmstim_the_champ,FilmStim,C,Sadness,181.0,349.0,530.0,181.0,False,S001_quadrant_C_pos2.h5,True,True,quadrant,False,True,1.0,5.0,9.0,2,2,"before=1,after=1",True,True,True,True,sub-P001_ses-S001_task-Default_run-001_eeg.xdf,clean_P001_S001.h5,P001_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,,P001_S001_p2,presentation,True,92553,92672,0.998715901243094,0.0019556324696168,True,1.0,1.0,False,False,False,False,0.0920436020207588,0.237914666641905,0.4284853744506831,0.7694902420043945,True,True,PASS,False,True,True,NOT_IMPLICATED,3,4,4,1,5,9,0.0,0,0,,0,1,0,,True,False,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P001,S001,3,10,P001_S001_p3,Scream,scream,filmstim_scream,FilmStim,B,Fear,216.0,663.0,879.0,216.0,False,S001_quadrant_B_pos3.h5,True,True,quadrant,False,True,5.0,5.0,4.0,2,2,"before=1,after=1",True,True,True,True,sub-P001_ses-S001_task-Default_run-001_eeg.xdf,clean_P001_S001.h5,P001_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,,P001_S001_p3,presentation,True,110450,110592,0.9987160011574074,0.0019556324696168,True,1.0,1.0,False,False,False,False,0.4395976254832141,0.2719753992156382,3.1887644577026366,0.8444485664367676,True,True,PASS,False,True,True,NOT_IMPLICATED,4,4,2,5,5,4,,0,1,,0,1,,,False,False,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P001,S001,4,14,P001_S001_p4,The Visitors,the_visitors,filmstim_the_visitors,FilmStim,A,Fun,130.0,1012.0,1142.0,130.0,False,S001_quadrant_A_pos4.h5,True,True,quadrant,False,True,6.0,3.0,2.0,2,2,"before=1,after=1",True,True,True,True,sub-P001_ses-S001_task-Default_run-001_eeg.xdf,clean_P001_S001.h5,P001_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,,P001_S001_p4,presentation,True,66474,66560,0.9987079326923076,0.0019556324696168,True,1.0,1.0,False,False,False,False,0.4168004266712508,0.2359660465965173,2.6657307147979736,0.7540245437622062,True,True,PASS,False,True,True,NOT_IMPLICATED,3,2,2,6,3,2,1.0,1,1,0.0,0,0,1,0,True,True,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P001,S002,2,6,P001_S002_p2,The Exorcist,the_exorcist,filmstim_the_exorcist,FilmStim,B,Fear,101.0,349.0,450.0,101.0,False,S002_quadrant_B_pos2.h5,True,True,quadrant,False,True,2.0,3.0,1.0,2,2,"before=1,after=1",True,True,True,True,sub-P001_ses-S002_task-Default_run-001_eeg.xdf,clean_P001_S002.h5,P001_S002,journey:1;videos:1;video_mappings:1;ratings:2,False,,P001_S002_p2,presentation,True,51710,51712,0.9999613242574258,0.0019531903380993,True,1.0,1.0,False,False,False,False,0.0476693168366047,0.1577308979823659,0.2112180972099304,0.5482401847839355,True,True,PASS,False,True,True,NOT_IMPLICATED,6,3,3,2,3,1,0.0,0,0,0.0,0,0,0,0,True,True,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P001,S002,3,10,P001_S002_p3,Life is beautiful,life_is_beautiful,filmstim_life_is_beautiful,FilmStim,C,Sadness,127.0,583.0,710.0,127.0,False,S002_quadrant_C_pos3.h5,True,True,quadrant,False,True,1.0,2.0,1.0,2,2,"before=1,after=1",True,True,True,True,sub-P001_ses-S002_task-Default_run-001_eeg.xdf,clean_P001_S002.h5,P001_S002,journey:1;videos:1;video_mappings:1;ratings:2,False,,P001_S002_p3,presentation,True,65021,65024,0.9999538631889764,0.0019531903380993,True,1.0,1.0,False,False,False,False,0.0737525681707484,0.0603458815187358,0.2328805923461914,0.2551803588867187,True,True,PASS,False,True,True,NOT_IMPLICATED,5,4,3,1,2,1,0.0,0,0,0.0,0,0,0,0,True,True,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P001,S002,4,14,P001_S002_p4,There is something about Mary 2,there_is_something_about_mary_2,filmstim_there_is_something_about_mary_2,FilmStim,A,Fun,146.0,843.0,989.0,146.0,False,S002_quadrant_A_pos4.h5,True,True,quadrant,False,True,6.0,5.0,4.0,2,2,"before=1,after=1",True,True,True,True,sub-P001_ses-S002_task-Default_run-001_eeg.xdf,clean_P001_S002.h5,P001_S002,journey:1;videos:1;video_mappings:1;ratings:2,False,,P001_S002_p4,presentation,True,74750,74752,0.9999732448630136,0.0019531903380993,True,1.0,1.0,False,False,False,False,0.0829506511225078,0.0587746651970865,0.2813465595245361,0.2853968048095687,True,True,PASS,False,True,True,NOT_IMPLICATED,4,3,2,6,5,4,1.0,1,1,,0,1,1,,True,False,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P002,S001,2,6,P002_S001_p2,28 days later,28_days_later,emostim_28_days_later,EmoStim,B,Fear,172.0,349.0,521.0,172.0,False,S001_quadrant_B_pos2.h5,True,True,quadrant,False,True,7.0,7.0,9.0,2,2,"before=1,after=1",True,True,True,True,sub-P002_ses-S001_task-Default_run-001_eeg.xdf,clean_P002_S001.h5,P002_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,,P002_S001_p2,presentation,True,87934,88064,0.998523800872093,0.0019560125656425,True,1.0,1.0,False,False,False,False,0.5383204339964365,0.1438302820841477,3.642767590284348,0.8595058250427243,True,True,PASS,False,True,True,NOT_IMPLICATED,4,5,3,7,7,9,1.0,1,1,1.0,1,1,1,1,True,True,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P002,S001,3,10,P002_S001_p3,Mr. Bean,mr._bean,emostim_mr._bean,EmoStim,A,Fun,159.0,654.0,813.0,159.0,False,S001_quadrant_A_pos3.h5,True,True,quadrant,False,True,9.0,9.0,9.0,2,2,"before=1,after=1",True,True,True,True,sub-P002_ses-S001_task-Default_run-001_eeg.xdf,clean_P002_S001.h5,P002_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,,P002_S001_p3,presentation,True,81288,81408,0.9985259433962264,0.0019560125656425,True,1.0,1.0,False,False,False,False,0.1720917694909753,0.1431609867186159,0.8834962195158005,0.7981079864501943,True,True,PASS,False,True,True,NOT_IMPLICATED,7,3,7,9,9,9,1.0,1,1,1.0,1,1,1,1,True,True,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P002,S001,4,14,P002_S001_p4,Dangerous Minds,dangerous_minds,"emostim,_filmstim_dangerous_minds","EmoStim, FilmStim",C,Sadness,143.0,946.0,1089.0,143.0,False,S001_quadrant_C_pos4.h5,True,True,quadrant,False,True,5.0,9.0,9.0,2,2,"before=1,after=1",True,True,True,True,sub-P002_ses-S001_task-Default_run-001_eeg.xdf,clean_P002_S001.h5,P002_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,,P002_S001_p4,presentation,True,73108,73216,0.9985249125874126,0.0019560125656425,True,1.0,1.0,False,False,False,False,0.0689315836848767,0.1204747718852316,0.3246658873558044,0.7222210693359372,True,True,PASS,False,True,True,NOT_IMPLICATED,9,5,9,5,9,9,,0,1,1.0,1,1,,1,False,True,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
DEJA-VU,Cohort_B_Paired_EEG_EMG_Strict,P002,S002,2,6,P002_S002_p2,When Harry met Sally,when_harry_met_sally,filmstim_when_harry_met_sally,FilmStim,A,Fun,172.0,349.0,521.0,172.0,False,S002_quadrant_A_pos2.h5,True,True,quadrant,False,True,9.0,7.0,7.0,2,2,"before=1,after=1",True,True,True,True,sub-P002_ses-S002_task-Default_run-001_eeg.xdf,clean_P002_S002.h5,P002_S002,journey:1;videos:1;video_mappings:1;ratings:2,False,,P002_S002_p2,presentation,True,88061,88064,0.9999659338662792,0.0019531900616129,True,1.0,1.0,False,False,False,False,0.4118527139662247,0.1413552037707955,2.4073623113334177,0.6938725471496587,True,True,PASS,False,True,True,NOT_IMPLICATED,5,3,3,9,7,7,1.0,1,1,1.0,1,1,1,1,True,True,after_only;discard_midpoint;score_lt_5=low;score_eq_5=missing;score_gt_5=high
