dataset,participant_id,session_id,chronological_position,video_order,presentation_id,video_name,video_id,content_id,source,canonical_quadrant,emotion_name,stimulus_duration_sec,timeline_start_sec,timeline_end_sec,timeline_duration_sec,timeline_end_is_fallback,segment_file,segment_available,segment_valid,segment_type,is_baseline,is_emotional_stimulus,valence_rating,arousal_rating,dominance_rating,valence_rating_count,arousal_rating_count,rating_policy_status,eeg_available,emg_available,ecg_available,gsr_available,raw_xdf_file,preprocessed_hdf5_file,participant_session_key,source_database_rows,identity_conflict_flag,notes,raw_emg_unit_id,raw_emg_unit_type,raw_emg_boundary_covered,raw_emg_observed_samples,raw_emg_expected_samples,raw_emg_sample_coverage_ratio,raw_emg_max_gap_sec,raw_emg_gap_ok,emg_ch1_finite_fraction,emg_ch2_finite_fraction,emg_ch1_exact_flatline,emg_ch2_exact_flatline,emg_ch1_low_variability_warning,emg_ch2_low_variability_warning,emg_ch1_std,emg_ch2_std,emg_ch1_robust_range,emg_ch2_robust_range,raw_emg_two_channel_eligible,raw_emg_one_channel_eligible,raw_emg_eligibility_reason
DEJA-VU,P001,S001,1,2,P001_S001_p1,Clouds,clouds,self-made_clouds,self-made,D,Calm,184.0,32.0,216.0,184.0,False,S001_neutral_baseline.h5,True,True,neutral_baseline,True,False,5.0,2.0,5.0,2,2,"before=1,after=1",True,True,True,True,sub-P001_ses-S001_task-Default_run-001_eeg.xdf,clean_P001_S001.h5,P001_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,,P001_S001_p1,presentation,True,94087,94208,0.9987156080163043,0.0019556324696168303,True,1.0,1.0,False,False,False,False,0.2560827560929893,0.15877952576707674,1.0469932556152344,0.6147714328765872,True,True,PASS
DEJA-VU,P001,S001,2,6,P001_S001_p2,The Champ,the_champ,filmstim_the_champ,FilmStim,C,Sadness,181.0,349.0,530.0,181.0,False,S001_quadrant_C_pos2.h5,True,True,quadrant,False,True,1.0,5.0,9.0,2,2,"before=1,after=1",True,True,True,True,sub-P001_ses-S001_task-Default_run-001_eeg.xdf,clean_P001_S001.h5,P001_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,,P001_S001_p2,presentation,True,92553,92672,0.998715901243094,0.0019556324696168303,True,1.0,1.0,False,False,False,False,0.09204360202075888,0.237914666641905,0.42848537445068313,0.7694902420043945,True,True,PASS
DEJA-VU,P001,S001,3,10,P001_S001_p3,Scream,scream,filmstim_scream,FilmStim,B,Fear,216.0,663.0,879.0,216.0,False,S001_quadrant_B_pos3.h5,True,True,quadrant,False,True,5.0,5.0,4.0,2,2,"before=1,after=1",True,True,True,True,sub-P001_ses-S001_task-Default_run-001_eeg.xdf,clean_P001_S001.h5,P001_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,,P001_S001_p3,presentation,True,110450,110592,0.9987160011574074,0.0019556324696168303,True,1.0,1.0,False,False,False,False,0.4395976254832141,0.2719753992156382,3.1887644577026366,0.8444485664367676,True,True,PASS
DEJA-VU,P001,S001,4,14,P001_S001_p4,The Visitors,the_visitors,filmstim_the_visitors,FilmStim,A,Fun,130.0,1012.0,1142.0,130.0,False,S001_quadrant_A_pos4.h5,True,True,quadrant,False,True,6.0,3.0,2.0,2,2,"before=1,after=1",True,True,True,True,sub-P001_ses-S001_task-Default_run-001_eeg.xdf,clean_P001_S001.h5,P001_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,,P001_S001_p4,presentation,True,66474,66560,0.9987079326923077,0.0019556324696168303,True,1.0,1.0,False,False,False,False,0.4168004266712508,0.23596604659651738,2.6657307147979736,0.7540245437622062,True,True,PASS
DEJA-VU,P001,S002,1,2,P001_S002_p1,Clouds,clouds,self-made_clouds,self-made,D,Calm,184.0,32.0,216.0,184.0,False,S002_neutral_baseline.h5,True,True,neutral_baseline,True,False,6.0,3.0,5.0,2,2,"before=1,after=1",True,True,True,True,sub-P001_ses-S002_task-Default_run-001_eeg.xdf,clean_P001_S002.h5,P001_S002,journey:1;videos:1;video_mappings:1;ratings:2,False,,P001_S002_p1,presentation,True,94205,94208,0.9999681555706522,0.0019531903380993754,True,1.0,1.0,False,False,False,False,0.057654536614893614,0.3312880015257126,0.21518683433532715,1.0456895446777352,True,True,PASS
DEJA-VU,P001,S002,2,6,P001_S002_p2,The Exorcist,the_exorcist,filmstim_the_exorcist,FilmStim,B,Fear,101.0,349.0,450.0,101.0,False,S002_quadrant_B_pos2.h5,True,True,quadrant,False,True,2.0,3.0,1.0,2,2,"before=1,after=1",True,True,True,True,sub-P001_ses-S002_task-Default_run-001_eeg.xdf,clean_P001_S002.h5,P001_S002,journey:1;videos:1;video_mappings:1;ratings:2,False,,P001_S002_p2,presentation,True,51710,51712,0.9999613242574258,0.0019531903380993754,True,1.0,1.0,False,False,False,False,0.04766931683660471,0.1577308979823659,0.21121809720993046,0.5482401847839355,True,True,PASS
DEJA-VU,P001,S002,3,10,P001_S002_p3,Life is beautiful,life_is_beautiful,filmstim_life_is_beautiful,FilmStim,C,Sadness,127.0,583.0,710.0,127.0,False,S002_quadrant_C_pos3.h5,True,True,quadrant,False,True,1.0,2.0,1.0,2,2,"before=1,after=1",True,True,True,True,sub-P001_ses-S002_task-Default_run-001_eeg.xdf,clean_P001_S002.h5,P001_S002,journey:1;videos:1;video_mappings:1;ratings:2,False,,P001_S002_p3,presentation,True,65021,65024,0.9999538631889764,0.0019531903380993754,True,1.0,1.0,False,False,False,False,0.0737525681707484,0.060345881518735836,0.2328805923461914,0.25518035888671875,True,True,PASS
DEJA-VU,P001,S002,4,14,P001_S002_p4,There is something about Mary 2,there_is_something_about_mary_2,filmstim_there_is_something_about_mary_2,FilmStim,A,Fun,146.0,843.0,989.0,146.0,False,S002_quadrant_A_pos4.h5,True,True,quadrant,False,True,6.0,5.0,4.0,2,2,"before=1,after=1",True,True,True,True,sub-P001_ses-S002_task-Default_run-001_eeg.xdf,clean_P001_S002.h5,P001_S002,journey:1;videos:1;video_mappings:1;ratings:2,False,,P001_S002_p4,presentation,True,74750,74752,0.9999732448630136,0.0019531903380993754,True,1.0,1.0,False,False,False,False,0.08295065112250788,0.058774665197086594,0.28134655952453613,0.28539680480956875,True,True,PASS
DEJA-VU,P002,S001,1,2,P002_S001_p1,Clouds,clouds,self-made_clouds,self-made,D,Calm,184.0,32.0,216.0,184.0,False,S001_neutral_baseline.h5,True,True,neutral_baseline,True,False,3.0,3.0,3.0,2,2,"before=1,after=1",True,True,True,True,sub-P002_ses-S001_task-Default_run-001_eeg.xdf,clean_P002_S001.h5,P002_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,,P002_S001_p1,presentation,True,94069,94208,0.9985245414402174,0.0019560125656425953,True,1.0,1.0,False,False,False,False,0.17989020047102874,0.343835246024607,0.5044667720794678,1.242306671142579,True,True,PASS
DEJA-VU,P002,S001,2,6,P002_S001_p2,28 days later,28_days_later,emostim_28_days_later,EmoStim,B,Fear,172.0,349.0,521.0,172.0,False,S001_quadrant_B_pos2.h5,True,True,quadrant,False,True,7.0,7.0,9.0,2,2,"before=1,after=1",True,True,True,True,sub-P002_ses-S001_task-Default_run-001_eeg.xdf,clean_P002_S001.h5,P002_S001,journey:1;videos:1;video_mappings:1;ratings:2,False,,P002_S001_p2,presentation,True,87934,88064,0.998523800872093,0.0019560125656425953,True,1.0,1.0,False,False,False,False,0.5383204339964365,0.1438302820841477,3.6427675902843477,0.8595058250427243,True,True,PASS
