repetition,held_subject_fold,held_video_fold,outer_cell,scenario_type,scenario_id,train_subject_folds,train_video_folds,validation_subject_folds,validation_video_folds,nominal_train_subjects,nominal_train_videos,observed_train_subjects,observed_train_videos,raw_train_rows,task,class_value,class_name,video_name,trial_count,subject_count,session_count
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,0,low,28 days later,5,5,5
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,0,low,Dangerous Minds,4,4,4
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,0,low,Fish called Wanda,1,1,1
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,0,low,Life is beautiful,2,2,2
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,0,low,Scream,1,1,1
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,0,low,The Exorcist,1,1,1
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,0,low,The Shining,2,2,2
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,0,low,The Shining 2,1,1,1
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,1,high,28 days later,1,1,1
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,1,high,There is something about Mary,2,2,2
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,valence,1,high,There is something about Mary 2,1,1,1
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,arousal,0,low,28 days later,2,2,2
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,arousal,0,low,Dangerous Minds,5,5,5
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,arousal,0,low,Fish called Wanda,1,1,1
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,arousal,0,low,Life is beautiful,2,2,2
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,arousal,0,low,Scream,1,1,1
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,arousal,0,low,The Exorcist,1,1,1
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,arousal,0,low,The Shining,1,1,1
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,arousal,0,low,The Shining 2,1,1,1
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,arousal,0,low,There is something about Mary,1,1,1
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,arousal,1,high,28 days later,4,4,4
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,arousal,1,high,The Shining,2,2,2
0,1,1,R00_S1_V1,outer_source,R00_S1_V1_outer_source,2;3,2;3,,,16,10,11,10,24,arousal,1,high,There is something about Mary,1,1,1
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,valence,0,low,28 days later,2,2,2
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,valence,0,low,Dangerous Minds,2,2,2
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,valence,0,low,Fish called Wanda,1,1,1
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,valence,0,low,Life is beautiful,2,2,2
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,valence,0,low,The Exorcist,1,1,1
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,valence,0,low,The Shining,1,1,1
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,valence,0,low,The Shining 2,1,1,1
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,valence,1,high,There is something about Mary,1,1,1
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,valence,1,high,There is something about Mary 2,1,1,1
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,arousal,0,low,28 days later,1,1,1
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,arousal,0,low,Dangerous Minds,2,2,2
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,arousal,0,low,Fish called Wanda,1,1,1
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,arousal,0,low,Life is beautiful,2,2,2
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,arousal,0,low,The Exorcist,1,1,1
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,arousal,0,low,The Shining,1,1,1
0,1,1,R00_S1_V1,inner_subject_only,R00_S1_V1_inner_subject_train_S2,2,2;3,3,,8,10,5,10,14,arousal,0,low,The Shining 2,1,1,1
